sectionCenters,x,y,z
0,-26839.878925325596,39977.359057976486,16778.518170175135
1,-26838.994626628,39975.59528988243,16778.19085087566
2,-26833.02561041921,39963.68985524755,16775.9814456042
3,-26811.360292328038,39920.47753694313,16767.962122767058
4,-26789.694974236867,39877.26521863871,16759.94279992991
5,-26783.725958028077,39865.35978400383,16757.733394658455
6,-26782.84165933048,39863.596015909774,16757.40607535898
7,-26781.957360632878,39861.83224781571,16757.078756059505
8,-26775.988344424084,39849.92681318082,16754.869350788045
9,-26754.323026332917,39806.71449487641,16746.850027950903
10,-26732.65770824175,39763.502176572,16738.830705113756
11,-26726.688692032956,39751.59674193711,16736.6212998423
12,-26725.804393335355,39749.83297384305,16736.293980542825
13,-26724.920094637757,39748.069205748994,16735.96666124335
14,-26718.951078428967,39736.16377111411,16733.75725597189
15,-26697.285760337796,39692.95145280969,16725.737933134747
16,-26675.620442246625,39649.739134505275,16717.7186102976
17,-26669.651426037835,39637.83369987039,16715.509205026145
18,-26668.767127340237,39636.069931776336,16715.18188572667
19,-26667.882828642636,39634.306163682275,16714.854566427195
20,-26661.913812433842,39622.40072904738,16712.645161155735
21,-26640.248494342675,39579.18841074297,16704.625838318592
22,-26618.583176251508,39535.97609243856,16696.606515481446
23,-26612.614160042715,39524.07065780367,16694.39711020999
24,-26611.729861345113,39522.30688970961,16694.069790910515
25,-26610.845562647515,39520.543121615556,16693.74247161104
26,-26604.876546438725,39508.63768698067,16691.53306633958
27,-26583.211228347558,39465.42536867625,16683.513743502437
28,-26561.54591025639,39422.213050371836,16675.49442066529
29,-26555.576894047597,39410.30761573694,16673.285015393834
30,-26554.692595349996,39408.54384764288,16672.95769609436
31,-26553.808296652398,39406.78007954883,16672.630376794885
32,-26547.839280443608,39394.87464491394,16670.420971523425
33,-26526.173962352445,39351.66232660953,16662.401648686282
34,-26504.518742672546,39308.44839341316,16654.36384604475
35,-26498.559787221813,39296.54134990765,16652.1360298732
36,-26497.676979006887,39294.777343462396,16651.80598303297
37,-26496.79417079196,39293.01333701713,16651.47593619274
38,-26490.835215341227,39281.10629351162,16649.248120021188
39,-26469.206414075612,39237.888135602756,16641.161972435562
40,-26447.57761280999,39194.66997769389,16633.075824849933
41,-26441.618657359257,39182.76293418838,16630.848008678382
42,-26440.735849144334,39180.998927743116,16630.51796183815
43,-26439.85304092941,39179.23492129786,16630.18791499792
44,-26433.894085478678,39167.327877792355,16627.96009882637
45,-26412.265284213056,39124.10971988348,16619.87395124074
46,-26390.63648294744,39080.89156197461,16611.787803655116
47,-26384.677527496708,39068.98451846911,16609.559987483564
48,-26383.79471928178,39067.22051202385,16609.229940643334
49,-26382.911911066854,39065.456505578586,16608.899893803104
50,-26376.95295561612,39053.549462073075,16606.672077631552
51,-26355.324154350506,39010.33130416421,16598.585930045927
52,-26333.695353084884,38967.113146255346,16590.4997824603
53,-26327.73639763415,38955.206102749835,16588.27196628875
54,-26326.85358941923,38953.44209630457,16587.94191944852
55,-26325.970781204305,38951.67808985931,16587.61187260829
56,-26320.011825753572,38939.77104635381,16585.38405643674
57,-26298.38302448795,38896.55288844494,16577.297908851113
58,-26276.754223222335,38853.334730536066,16569.211761265487
59,-26270.795267771602,38841.42768703056,16566.983945093936
60,-26269.912459556675,38839.663680585305,16566.653898253706
61,-26269.02965134175,38837.89967414004,16566.323851413475
62,-26263.07069589102,38825.99263063453,16564.096035241928
63,-26241.4418946254,38782.774472725665,16556.009887656302
64,-26219.813093359786,38739.5563148168,16547.923740070677
65,-26213.854137909053,38727.64927131129,16545.695923899126
66,-26212.97132969413,38725.885264866025,16545.365877058895
67,-26212.088521479207,38724.12125842077,16545.035830218665
68,-26206.129566028474,38712.214214915264,16542.808014047114
69,-26184.500764762855,38668.99605700639,16534.721866461492
70,-26164.424486193784,38625.50860330745,16524.445124063444
71,-26158.962169966602,38613.5154142967,16521.516554653845
72,-26158.152937932948,38611.73864555437,16521.08269251909
73,-26157.343705899293,38609.961876812034,16520.648830384333
74,-26151.88138967211,38597.96868780129,16517.720260974733
75,-26132.055204847522,38554.437853614145,16507.090638673224
76,-26112.229020022933,38510.907019427,16496.46101637171
77,-26106.76670379575,38498.91383041626,16493.532446962112
78,-26105.957471762096,38497.13706167393,16493.098584827356
79,-26105.14823972844,38495.3602929316,16492.6647226926
80,-26099.68592350126,38483.36710392086,16489.736153283
81,-26079.85973867667,38439.836269733714,16479.106530981488
82,-26060.03355385208,38396.30543554657,16468.47690867998
83,-26054.5712376249,38384.312246535825,16465.54833927038
84,-26053.76200559124,38382.53547779349,16465.114477135623
85,-26052.952773557583,38380.75870905116,16464.680615000867
86,-26047.4904573304,38368.76552004041,16461.752045591267
87,-26027.664272505812,38325.23468585327,16451.12242328976
