sectionList,sectionType
0,node
1,paranode1
2,paranode2
3,internode
4,paranode2
5,paranode1
6,node
7,paranode1
8,paranode2
9,internode
10,paranode2
11,paranode1
12,node
13,paranode1
14,paranode2
15,internode
16,paranode2
17,paranode1
18,node
19,paranode1
20,paranode2
21,internode
22,paranode2
23,paranode1
24,node
25,paranode1
26,paranode2
27,internode
28,paranode2
29,paranode1
30,node
31,paranode1
32,paranode2
33,internode
34,paranode2
35,paranode1
36,node
37,paranode1
38,paranode2
39,internode
40,paranode2
41,paranode1
42,node
43,paranode1
44,paranode2
45,internode
46,paranode2
47,paranode1
48,node
49,paranode1
50,paranode2
51,internode
52,paranode2
53,paranode1
54,node
55,paranode1
56,paranode2
57,internode
58,paranode2
59,paranode1
60,node
61,paranode1
62,paranode2
63,internode
64,paranode2
65,paranode1
66,node
67,paranode1
68,paranode2
69,internode
70,paranode2
71,paranode1
72,node
73,paranode1
74,paranode2
75,internode
76,paranode2
77,paranode1
78,node
79,paranode1
80,paranode2
81,internode
82,paranode2
83,paranode1
84,node
85,paranode1
86,paranode2
87,internode
88,paranode2
89,paranode1
90,node
91,paranode1
92,paranode2
93,internode
94,paranode2
95,paranode1
96,node
97,paranode1
98,paranode2
99,internode
100,paranode2
101,paranode1
102,node
103,paranode1
104,paranode2
105,internode
106,paranode2
107,paranode1
108,node
109,paranode1
110,paranode2
111,internode
112,paranode2
113,paranode1
114,node
115,paranode1
116,paranode2
117,internode
118,paranode2
119,paranode1
120,node
121,paranode1
122,paranode2
123,internode
124,paranode2
125,paranode1
126,node
127,paranode1
128,paranode2
129,internode
130,paranode2
131,paranode1
132,node
133,paranode1
134,paranode2
135,internode
136,paranode2
137,paranode1
138,node
139,paranode1
140,paranode2
141,internode
142,paranode2
143,paranode1
144,node
145,paranode1
146,paranode2
147,internode
148,paranode2
149,paranode1
150,node
151,paranode1
152,paranode2
153,internode
154,paranode2
155,paranode1
156,node
157,paranode1
158,paranode2
159,internode
160,paranode2
161,paranode1
162,node
163,paranode1
164,paranode2
165,internode
166,paranode2
167,paranode1
168,node
169,paranode1
170,paranode2
171,internode
172,paranode2
173,paranode1
174,node
175,paranode1
176,paranode2
177,internode
178,paranode2
179,paranode1
180,node
181,paranode1
182,paranode2
183,internode
184,paranode2
185,paranode1
186,node
187,paranode1
188,paranode2
189,internode
190,paranode2
191,paranode1
192,node
193,paranode1
194,paranode2
195,internode
196,paranode2
197,paranode1
198,node
199,paranode1
200,paranode2
201,internode
202,paranode2
203,paranode1
204,node
205,paranode1
206,paranode2
207,internode
208,paranode2
209,paranode1
210,node
211,paranode1
212,paranode2
213,internode
214,paranode2
215,paranode1
216,node
217,paranode1
218,paranode2
219,internode
220,paranode2
221,paranode1
222,node
223,paranode1
224,paranode2
225,internode
226,paranode2
227,paranode1
228,node
229,paranode1
230,paranode2
231,internode
232,paranode2
233,paranode1
234,node
235,paranode1
236,paranode2
237,internode
238,paranode2
239,paranode1
240,node
241,paranode1
242,paranode2
243,internode
244,paranode2
245,paranode1
246,node
247,paranode1
248,paranode2
249,internode
250,paranode2
251,paranode1
252,node
253,paranode1
254,paranode2
255,internode
256,paranode2
257,paranode1
258,node
259,paranode1
260,paranode2
261,internode
262,paranode2
263,paranode1
264,node
265,paranode1
266,paranode2
267,internode
268,paranode2
269,paranode1
270,node
271,paranode1
272,paranode2
273,internode
274,paranode2
275,paranode1
276,node
277,paranode1
278,paranode2
279,internode
280,paranode2
281,paranode1
282,node
283,paranode1
284,paranode2
285,internode
286,paranode2
287,paranode1
288,node
289,paranode1
290,paranode2
291,internode
292,paranode2
293,paranode1
294,node
295,paranode1
296,paranode2
297,internode
298,paranode2
299,paranode1
300,node
301,paranode1
302,paranode2
303,internode
304,paranode2
305,paranode1
306,node
307,paranode1
308,paranode2
309,internode
310,paranode2
311,paranode1
312,node
313,paranode1
314,paranode2
315,internode
316,paranode2
317,paranode1
318,node
319,paranode1
320,paranode2
321,internode
322,paranode2
323,paranode1
324,node
325,paranode1
326,paranode2
327,internode
328,paranode2
329,paranode1
330,node
331,paranode1
332,paranode2
333,internode
334,paranode2
335,paranode1
336,node
337,paranode1
338,paranode2
339,internode
340,paranode2
341,paranode1
342,node
343,paranode1
344,paranode2
345,internode
346,paranode2
347,paranode1
348,node
349,paranode1
350,paranode2
351,internode
352,paranode2
353,paranode1
354,node
355,paranode1
356,paranode2
357,internode
358,paranode2
359,paranode1
360,node
361,paranode1
362,paranode2
363,internode
364,paranode2
365,paranode1
